Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
MTD,"Mettler-Toledo International",1344.88,-5.9499999999998,-0.44%,1344.24,1362.66,1338,35497,"11:55 ET"
OGN,"Organon & CO",32.05,0.22,+0.69%,31.77,32.095,31.55,260641,"11:54 ET"
PFE,"Pfizer Inc",50.72,0.11,+0.22%,50.9,51.47,50.68,6103663,"11:55 ET"
PKI,Perkinelmer,155.66,-5.21,-3.24%,156.93,160.185,153.69,561524,"11:55 ET"
REGN,"Regeneron Pharmaceuticals",583.26,6.58,+1.14%,578.5,585.96,576.7,171443,"11:55 ET"
RMD,"Resmed Inc",240.38,1.18,+0.49%,238.46,241.05,238.13,109998,"11:54 ET"
STE,"Steris Corp",226.13,3.62,+1.63%,222.38,226.3,221.12,117208,"11:49 ET"
SYK,"Stryker Corp",215.29,1.8,+0.84%,213.41,215.6,212.31,219765,"11:54 ET"
TECH,"Bio-Techne Cp",385.92,2.66,+0.69%,380.29,389.47,380.29,36450,"11:53 ET"
TFX,"Teleflex Inc",248.35,3.05,+1.24%,245.76,249.1,245.105,105904,"11:55 ET"
TMO,"Thermo Fisher Scientific Inc",587.26,-2.29,-0.39%,587.3,594.87,583.25,354578,"11:55 ET"
UHS,"Universal Health Services",110.86,0.61,+0.55%,110.22,111.25,108.725,107716,"11:55 ET"
UNH,"Unitedhealth Group Inc",538.45,3.0700000000001,+0.57%,537.55,540.53,531.72,621261,"11:55 ET"
VRTX,"Vertex Pharmaceutic",277.19,3.36,+1.23%,275.82,277.8,273.87,367099,"11:55 ET"
VTRS,"Viatris Inc",9.75,0.09,+0.93%,9.66,9.79,9.625,2724471,"11:55 ET"
WAT,"Waters Corp",341.46,-24.09,-6.59%,345,354.04,338,469735,"11:55 ET"
WST,"West Pharmaceutical Services",340.64,1.6,+0.47%,337.1,343.72,335.3844,109684,"11:54 ET"
XRAY,"Dentsply Sirona Inc",35.83,-0.15,-0.42%,35.84,35.94,35.39,418663,"11:54 ET"
ZBH,"Zimmer Biomet Holdings",115.62,5.86,+5.34%,113.01,116.46,113,788149,"11:54 ET"
ZTS,"Zoetis Inc Cl A",180.55,0.81,+0.45%,179.82,181.56,177.61,349275,"11:55 ET"
"Downloaded from Barchart.com as of 08-02-2022 10:55am CDT"
